Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-03-5,LEF-2-2,-113.29999999999993,561.0,-226.29999999999995,561.0,-226.29999999999995,481.0,-113.29999999999994,481.0,-114.00562499999992,560.42,-225.59437499999996,560.42,-225.59437499999996,481.5799999999999,-114.00562499999994,481.5799999999999
Y,QL-R3,L12-03-4,LEF-2-2,-113.29999999999991,641.1500000000001,-226.29999999999993,641.1500000000001,-226.29999999999995,561.1500000000001,-113.29999999999993,561.1500000000001,-114.00562499999991,640.57,-225.59437499999993,640.57,-225.59437499999996,561.73,-114.00562499999992,561.73
Y,QL-R3,L12-03-3,LEF-2-2,-113.29999999999991,721.3000000000001,-226.29999999999993,721.3000000000001,-226.29999999999993,641.3000000000001,-113.29999999999991,641.3000000000001,-114.00562499999991,720.72,-225.59437499999993,720.72,-225.59437499999993,641.88,-114.00562499999991,641.88
Y,QL-R3,L12-03-2,LEF-2-2,-113.2999999999999,801.45,-226.29999999999993,801.45,-226.29999999999993,721.45,-113.29999999999991,721.45,-114.0056249999999,800.87,-225.59437499999993,800.87,-225.59437499999993,722.03,-114.00562499999991,722.03
Y,QL-R3,L12-03-1,LEF-2-2,-113.29999999999988,881.6,-226.2999999999999,881.6,-226.29999999999993,801.6,-113.2999999999999,801.6,-114.00562499999988,881.02,-225.5943749999999,881.02,-225.59437499999993,802.18,-114.0056249999999,802.18
Y,QL-R3,L12-03-0,LEF-2-2,-113.29999999999988,961.7500000000001,-226.2999999999999,961.7500000000001,-226.2999999999999,881.7500000000001,-113.29999999999988,881.7500000000001,-114.00562499999988,961.1700000000001,-225.5943749999999,961.1700000000001,-225.5943749999999,882.33,-114.00562499999988,882.33
Y,QL-R3,L12-29-11,LEF-2-3,-226.5,80.10000000000002,-339.5,80.10000000000004,-339.5,0.1000000000000359,-226.5,0.10000000000002206,-227.205625,79.52000000000002,-338.794375,79.52000000000004,-338.794375,0.6800000000000341,-227.205625,0.6800000000000205
Y,QL-R3,L12-29-10,LEF-2-3,-226.49999999999997,160.25000000000003,-339.5,160.25000000000003,-339.5,80.25000000000004,-226.5,80.25000000000003,-227.20562499999997,159.67000000000002,-338.794375,159.67000000000002,-338.794375,80.83000000000003,-227.205625,80.83000000000001
Y,QL-R3,L12-29-9,LEF-2-3,-226.49999999999997,240.40000000000003,-339.49999999999994,240.40000000000003,-339.5,160.40000000000003,-226.49999999999997,160.40000000000003,-227.20562499999997,239.82000000000002,-338.79437499999995,239.82000000000002,-338.794375,160.98000000000002,-227.20562499999997,160.98000000000002
Y,QL-R3,L12-29-8,LEF-2-3,-226.49999999999997,320.55,-339.49999999999994,320.55000000000007,-339.49999999999994,240.55000000000004,-226.49999999999997,240.55000000000004,-227.20562499999997,319.97,-338.79437499999995,319.9700000000001,-338.79437499999995,241.13000000000005,-227.20562499999997,241.13000000000005
