Layer,Step 3 point,Hits,NEVTs
U,1,LEF-3-4, LEF-3-5,20000
U,2,LEF-3-3, LEF-3-4,20000
U,3,LEF-3-2, LEF-3-3,20000
U,4,LEF-3-1, LEF-3-2,20000
U,5,LEF-1-1, LEF-3-1,20000
U,6,LEF-1-1, LEF-1-2,20000
U,7,LEF-1-2, LEF-1-3,20000
U,8,LEF-1-3, LEF-1-4,20000
U,9,LEF-1-4, LEF-1-5,20000
U,10,LEF-1-4, LEF-1-5,20000
U,11,LEF-1-3, LEF-1-4,20000
U,12,LEF-1-2, LEF-1-3,20000
U,13,LEF-1-1, LEF-1-2,20000
U,14,LEF-1-1, LEF-3-1,20000
U,15,LEF-3-1, LEF-3-2,20000
U,16,LEF-3-2, LEF-3-3,20000
U,17,LEF-3-3, LEF-3-4,20000
U,18,LEF-3-4, LEF-3-5,20000
U,19,LEF-3-6, LEF-3-7,20000
U,20,LEF-3-5, LEF-3-6,20000
U,21,LEF-3-4, LEF-3-5,20000
U,22,LEF-3-3, LEF-3-4,20000
U,23,LEF-3-2, LEF-3-3,20000
U,24,LEF-3-1, LEF-3-2,20000
U,25,LEF-1-1, LEF-3-1,20000
U,26,LEF-1-1, LEF-1-2,20000
U,27,LEF-1-2, LEF-1-3,20000
U,28,LEF-1-3, LEF-1-4,20000
U,29,LEF-1-4, LEF-1-5,20000
U,30,LEF-1-5, LEF-1-6,20000
U,31,LEF-1-6, LEF-1-7,20000
U,32,LEF-1-6, LEF-1-7,20000
U,33,LEF-1-5, LEF-1-6,20000
U,34,LEF-1-4, LEF-1-5,20000
U,35,LEF-1-3, LEF-1-4,20000
U,36,LEF-1-2, LEF-1-3,20000
U,37,LEF-1-1, LEF-1-2,20000
U,38,LEF-1-1, LEF-3-1,20000
U,39,LEF-3-1, LEF-3-2,20000
U,40,LEF-3-2, LEF-3-3,20000
U,41,LEF-3-3, LEF-3-4,20000
U,42,LEF-3-4, LEF-3-5,20000
U,43,LEF-3-5, LEF-3-6,20000
U,44,LEF-3-6, LEF-3-7,20000
U,45,LEF-3-8, LEF-3-9,20000
U,46,LEF-3-7, LEF-3-8,20000
U,47,LEF-3-6, LEF-3-7,20000
U,48,LEF-3-5, LEF-3-6,20000
U,49,LEF-3-4, LEF-3-5,20000
U,50,LEF-3-3, LEF-3-4,20000
U,51,LEF-3-2, LEF-3-3,20000
U,52,LEF-3-1, LEF-3-2,20000
U,53,LEF-1-1, LEF-3-1,20000
U,54,LEF-1-1, LEF-1-2,20000
U,55,LEF-1-2, LEF-1-3,20000
U,56,LEF-1-3, LEF-1-4,20000
U,57,LEF-1-4, LEF-1-5,20000
U,58,LEF-1-5, LEF-1-6,20000
U,59,LEF-1-6, LEF-1-7,20000
U,60,LEF-1-7, LEF-1-8,20000
U,61,LEF-1-8, LEF-1-9,20000
U,62,LEF-1-8, LEF-1-9,20000
