Layer,Step 1 point,NEVTs,Hits
Y,1,20000,LEF-2-4,LEF-2-5
Y,2,20000,LEF-2-3,LEF-2-4
Y,3,20000,LEF-2-2,LEF-2-3
Y,4,20000,LEF-2-1,LEF-2-2
Y,5,20000,LEF-2-1,LEF-4-1
Y,6,20000,LEF-4-1,LEF-4-2
Y,7,20000,LEF-4-2,LEF-4-3
Y,8,20000,LEF-4-3,LEF-4-4
Y,9,20000,LEF-4-4,LEF-4-5
Y,10,20000,LEF-4-4,LEF-4-5
Y,11,20000,LEF-4-3,LEF-4-4
Y,12,20000,LEF-4-2,LEF-4-3
Y,13,20000,LEF-4-1,LEF-4-2
Y,14,20000,LEF-2-1,LEF-4-1
Y,15,20000,LEF-2-1,LEF-2-2
Y,16,20000,LEF-2-2,LEF-2-3
Y,17,20000,LEF-2-3,LEF-2-4
Y,18,20000,LEF-2-4,LEF-2-5
Y,19,20000,LEF-2-6,LEF-2-7
Y,20,20000,LEF-2-5,LEF-2-6
Y,21,20000,LEF-2-4,LEF-2-5
Y,22,20000,LEF-2-3,LEF-2-4
Y,23,20000,LEF-2-2,LEF-2-3
Y,24,20000,LEF-2-1,LEF-2-2
Y,25,20000,LEF-2-1,LEF-4-1
Y,26,20000,LEF-4-1,LEF-4-2
Y,27,20000,LEF-4-2,LEF-4-3
Y,28,20000,LEF-4-3,LEF-4-4
Y,29,20000,LEF-4-4,LEF-4-5
Y,30,20000,LEF-4-5,LEF-4-6
Y,31,20000,LEF-4-6,LEF-4-7
Y,32,20000,LEF-4-6,LEF-4-7
Y,33,20000,LEF-4-5,LEF-4-6
Y,34,20000,LEF-4-4,LEF-4-5
Y,35,20000,LEF-4-3,LEF-4-4
Y,36,20000,LEF-4-2,LEF-4-3
Y,37,20000,LEF-4-1,LEF-4-2
Y,38,20000,LEF-2-1,LEF-4-1
Y,39,20000,LEF-2-1,LEF-2-2
Y,40,20000,LEF-2-2,LEF-2-3
Y,41,20000,LEF-2-3,LEF-2-4
Y,42,20000,LEF-2-4,LEF-2-5
Y,43,20000,LEF-2-5,LEF-2-6
Y,44,20000,LEF-2-6,LEF-2-7
Y,45,20000,LEF-2-8,LEF-2-9
Y,46,20000,LEF-2-7,LEF-2-8
Y,47,20000,LEF-2-6,LEF-2-7
Y,48,20000,LEF-2-5,LEF-2-6
Y,49,20000,LEF-2-4,LEF-2-5
Y,50,20000,LEF-2-3,LEF-2-4
Y,51,20000,LEF-2-2,LEF-2-3
Y,52,20000,LEF-2-1,LEF-2-2
Y,53,20000,LEF-2-1,LEF-4-1
Y,54,20000,LEF-4-1,LEF-4-2
Y,55,20000,LEF-4-2,LEF-4-3
Y,56,20000,LEF-4-3,LEF-4-4
Y,57,20000,LEF-4-4,LEF-4-5
Y,58,20000,LEF-4-5,LEF-4-6
Y,59,20000,LEF-4-6,LEF-4-7
Y,60,20000,LEF-4-7,LEF-4-8
Y,61,20000,LEF-4-8,LEF-4-9
Y,62,20000,LEF-4-8,LEF-4-9
Y,63,20000,LEF-4-7,LEF-4-8
Y,64,20000,LEF-4-6,LEF-4-7
Y,65,20000,LEF-4-5,LEF-4-6
Y,66,20000,LEF-4-4,LEF-4-5
Y,67,20000,LEF-4-3,LEF-4-4
Y,68,20000,LEF-4-2,LEF-4-3
Y,69,20000,LEF-4-1,LEF-4-2
Y,70,20000,LEF-2-1,LEF-4-1
Y,71,20000,LEF-2-1,LEF-2-2
Y,72,20000,LEF-2-2,LEF-2-3
Y,73,20000,LEF-2-3,LEF-2-4
Y,74,20000,LEF-2-4,LEF-2-5
Y,75,20000,LEF-2-5,LEF-2-6
Y,76,20000,LEF-2-6,LEF-2-7
Y,77,20000,LEF-2-7,LEF-2-8
Y,78,20000,LEF-2-8,LEF-2-9
Y,79,20000,LEF-2-8,LEF-2-9
Y,80,20000,LEF-2-7,LEF-2-8
Y,81,20000,LEF-2-6,LEF-2-7
Y,82,20000,LEF-2-5,LEF-2-6
Y,83,20000,LEF-2-4,LEF-2-5
Y,84,20000,LEF-2-3,LEF-2-4
Y,85,20000,LEF-2-2,LEF-2-3
Y,86,20000,LEF-2-1,LEF-2-2
Y,87,20000,LEF-2-1,LEF-4-1
Y,88,20000,LEF-4-1,LEF-4-2
Y,89,20000,LEF-4-2,LEF-4-3
Y,90,20000,LEF-4-3,LEF-4-4
Y,91,20000,LEF-4-4,LEF-4-5
Y,92,20000,LEF-4-5,LEF-4-6
Y,93,20000,LEF-4-6,LEF-4-7
Y,94,20000,LEF-4-7,LEF-4-8
Y,95,20000,LEF-4-8,LEF-4-9
