Layer,Step 1 point,Hits,NEVTs
Y,133,LEF-4-5, LEF-4-6,20000
Y,134,LEF-4-4, LEF-4-5,20000
Y,135,LEF-4-3, LEF-4-4,20000
Y,136,LEF-4-2, LEF-4-3,20000
Y,137,LEF-4-1, LEF-4-2,20000
Y,138,LEF-2-1, LEF-4-1,20000
Y,139,LEF-2-1, LEF-2-2,20000
Y,140,LEF-2-2, LEF-2-3,20000
Y,141,LEF-2-3, LEF-2-4,20000
Y,142,LEF-2-4, LEF-2-5,20000
Y,143,LEF-2-5, LEF-2-6,20000
Y,144,LEF-2-6, LEF-2-7,20000
Y,145,LEF-2-7, LEF-2-8,20000
Y,146,LEF-2-8, LEF-2-9,20000
Y,147,LEF-2-8, LEF-2-9,20000
Y,148,LEF-2-7, LEF-2-8,20000
Y,149,LEF-2-6, LEF-2-7,20000
Y,150,LEF-2-5, LEF-2-6,20000
Y,151,LEF-2-4, LEF-2-5,20000
Y,152,LEF-2-3, LEF-2-4,20000
Y,153,LEF-2-2, LEF-2-3,20000
Y,154,LEF-2-1, LEF-2-2,20000
Y,155,LEF-2-1, LEF-4-1,20000
Y,156,LEF-4-1, LEF-4-2,20000
Y,157,LEF-4-2, LEF-4-3,20000
Y,158,LEF-4-3, LEF-4-4,20000
Y,159,LEF-4-4, LEF-4-5,20000
Y,160,LEF-4-5, LEF-4-6,20000
Y,161,LEF-4-6, LEF-4-7,20000
Y,162,LEF-4-7, LEF-4-8,20000
Y,163,LEF-4-8, LEF-4-9,20000
Y,164,LEF-4-8, LEF-4-9,20000
Y,165,LEF-4-7, LEF-4-8,20000
Y,166,LEF-4-6, LEF-4-7,20000
Y,167,LEF-4-5, LEF-4-6,20000
Y,168,LEF-4-4, LEF-4-5,20000
Y,169,LEF-4-3, LEF-4-4,20000
Y,170,LEF-4-2, LEF-4-3,20000
Y,171,LEF-4-1, LEF-4-2,20000
Y,172,LEF-2-1, LEF-4-1,20000
Y,173,LEF-2-1, LEF-2-2,20000
Y,174,LEF-2-2, LEF-2-3,20000
Y,175,LEF-2-3, LEF-2-4,20000
Y,176,LEF-2-4, LEF-2-5,20000
Y,177,LEF-2-5, LEF-2-6,20000
Y,178,LEF-2-6, LEF-2-7,20000
Y,179,LEF-2-7, LEF-2-8,20000
Y,180,LEF-2-8, LEF-2-9,20000
Y,181,LEF-8-8, LEF-8-9,20000
Y,182,LEF-8-7, LEF-8-8,20000
Y,183,LEF-8-6, LEF-8-7,20000
Y,184,LEF-8-5, LEF-8-6,20000
Y,185,LEF-8-4, LEF-8-5,20000
Y,186,LEF-8-3, LEF-8-4,20000
Y,187,LEF-8-2, LEF-8-3,20000
Y,188,LEF-8-1, LEF-8-2,20000
Y,189,LEF-6-1, LEF-8-1,20000
Y,190,LEF-6-1, LEF-6-2,20000
Y,191,LEF-6-2, LEF-6-3,20000
Y,192,LEF-6-3, LEF-6-4,20000
Y,193,LEF-6-4, LEF-6-5,20000
Y,194,LEF-6-5, LEF-6-6,20000
Y,195,LEF-6-6, LEF-6-7,20000
Y,196,LEF-6-7, LEF-6-8,20000
Y,197,LEF-6-8, LEF-6-9,20000
Y,198,LEF-6-8, LEF-6-9,20000
Y,199,LEF-6-7, LEF-6-8,20000
Y,200,LEF-6-6, LEF-6-7,20000
Y,201,LEF-6-5, LEF-6-6,20000
Y,202,LEF-6-4, LEF-6-5,20000
Y,203,LEF-6-3, LEF-6-4,20000
Y,204,LEF-6-2, LEF-6-3,20000
Y,205,LEF-6-1, LEF-6-2,20000
Y,206,LEF-6-1, LEF-8-1,20000
Y,207,LEF-8-1, LEF-8-2,20000
Y,208,LEF-8-2, LEF-8-3,20000
Y,209,LEF-8-3, LEF-8-4,20000
Y,210,LEF-8-4, LEF-8-5,20000
Y,211,LEF-8-5, LEF-8-6,20000
Y,212,LEF-8-6, LEF-8-7,20000
Y,213,LEF-8-7, LEF-8-8,20000
Y,214,LEF-8-8, LEF-8-9,20000
Y,215,LEF-8-8, LEF-8-9,20000
Y,216,LEF-8-7, LEF-8-8,20000
Y,217,LEF-8-6, LEF-8-7,20000
Y,218,LEF-8-5, LEF-8-6,20000
Y,219,LEF-8-4, LEF-8-5,20000
Y,220,LEF-8-3, LEF-8-4,20000
Y,221,LEF-8-2, LEF-8-3,20000
Y,222,LEF-8-1, LEF-8-2,20000
Y,223,LEF-6-1, LEF-8-1,20000
Y,224,LEF-6-1, LEF-6-2,20000
Y,225,LEF-6-2, LEF-6-3,20000
Y,226,LEF-6-3, LEF-6-4,20000
Y,227,LEF-6-4, LEF-6-5,20000
Y,228,LEF-6-5, LEF-6-6,20000
Y,229,LEF-6-6, LEF-6-7,20000
Y,230,LEF-6-7, LEF-6-8,20000
Y,231,LEF-6-8, LEF-6-9,20000
Y,232,LEF-6-8, LEF-6-9,20000
Y,233,LEF-6-7, LEF-6-8,20000
Y,234,LEF-6-6, LEF-6-7,20000
Y,235,LEF-6-5, LEF-6-6,20000
Y,236,LEF-6-4, LEF-6-5,20000
Y,237,LEF-6-3, LEF-6-4,20000
Y,238,LEF-6-2, LEF-6-3,20000
Y,239,LEF-6-1, LEF-6-2,20000
Y,240,LEF-6-1, LEF-8-1,20000
Y,241,LEF-8-1, LEF-8-2,20000
Y,242,LEF-8-2, LEF-8-3,20000
Y,243,LEF-8-3, LEF-8-4,20000
Y,244,LEF-8-4, LEF-8-5,20000
Y,245,LEF-8-5, LEF-8-6,20000
Y,246,LEF-8-6, LEF-8-7,20000
Y,247,LEF-8-7, LEF-8-8,20000
Y,248,LEF-8-8, LEF-8-9,20000
Y,249,LEF-8-8, LEF-8-9,20000
Y,250,LEF-8-7, LEF-8-8,20000
Y,251,LEF-8-6, LEF-8-7,20000
Y,252,LEF-8-5, LEF-8-6,20000
Y,253,LEF-8-4, LEF-8-5,20000
Y,254,LEF-8-3, LEF-8-4,20000
Y,255,LEF-8-2, LEF-8-3,20000
Y,256,LEF-8-1, LEF-8-2,20000
Y,257,LEF-6-1, LEF-8-1,20000
Y,258,LEF-6-1, LEF-6-2,20000
Y,259,LEF-6-2, LEF-6-3,20000
Y,260,LEF-6-3, LEF-6-4,20000
Y,261,LEF-6-4, LEF-6-5,20000
Y,262,LEF-6-5, LEF-6-6,20000
Y,263,LEF-6-6, LEF-6-7,20000
Y,264,LEF-6-7, LEF-6-8,20000
Y,265,LEF-6-8, LEF-6-9,20000
Y,266,LEF-6-8, LEF-6-9,20000
Y,267,LEF-6-7, LEF-6-8,20000
Y,268,LEF-6-6, LEF-6-7,20000
Y,269,LEF-6-5, LEF-6-6,20000
Y,270,LEF-6-4, LEF-6-5,20000
Y,271,LEF-6-3, LEF-6-4,20000
Y,272,LEF-6-2, LEF-6-3,20000
Y,273,LEF-6-1, LEF-6-2,20000
Y,274,LEF-6-1, LEF-8-1,20000
Y,275,LEF-8-1, LEF-8-2,20000
Y,276,LEF-8-2, LEF-8-3,20000
Y,277,LEF-8-3, LEF-8-4,20000
Y,278,LEF-8-4, LEF-8-5,20000
Y,279,LEF-8-5, LEF-8-6,20000
Y,280,LEF-8-6, LEF-8-7,20000
Y,281,LEF-8-7, LEF-8-8,20000
Y,282,LEF-8-8, LEF-8-9,20000
Y,283,LEF-8-8, LEF-8-9,20000
Y,284,LEF-8-7, LEF-8-8,20000
Y,285,LEF-8-6, LEF-8-7,20000
Y,286,LEF-8-5, LEF-8-6,20000
Y,287,LEF-8-4, LEF-8-5,20000
Y,288,LEF-8-3, LEF-8-4,20000
Y,289,LEF-8-2, LEF-8-3,20000
Y,290,LEF-8-1, LEF-8-2,20000
Y,291,LEF-6-1, LEF-8-1,20000
Y,292,LEF-6-1, LEF-6-2,20000
Y,293,LEF-6-2, LEF-6-3,20000
Y,294,LEF-6-3, LEF-6-4,20000
Y,295,LEF-6-4, LEF-6-5,20000
Y,296,LEF-6-5, LEF-6-6,20000
Y,297,LEF-6-6, LEF-6-7,20000
Y,298,LEF-6-7, LEF-6-8,20000
Y,299,LEF-6-8, LEF-6-9,20000
Y,300,LEF-6-8, LEF-6-9,20000
Y,301,LEF-6-7, LEF-6-8,20000
Y,302,LEF-6-6, LEF-6-7,20000
Y,303,LEF-6-5, LEF-6-6,20000
Y,304,LEF-6-4, LEF-6-5,20000
Y,305,LEF-6-3, LEF-6-4,20000
Y,306,LEF-6-2, LEF-6-3,20000
Y,307,LEF-6-1, LEF-6-2,20000
Y,308,LEF-6-1, LEF-8-1,20000
Y,309,LEF-8-1, LEF-8-2,20000
Y,310,LEF-8-2, LEF-8-3,20000
Y,311,LEF-8-3, LEF-8-4,20000
Y,312,LEF-8-4, LEF-8-5,20000
Y,313,LEF-8-5, LEF-8-6,20000
Y,314,LEF-8-6, LEF-8-7,20000
Y,315,LEF-8-7, LEF-8-8,20000
Y,316,LEF-8-8, LEF-8-9,20000
Y,317,LEF-8-6, LEF-8-7,20000
Y,318,LEF-8-5, LEF-8-6,20000
Y,319,LEF-8-4, LEF-8-5,20000
Y,320,LEF-8-3, LEF-8-4,20000
Y,321,LEF-8-2, LEF-8-3,20000
Y,322,LEF-8-1, LEF-8-2,20000
Y,323,LEF-6-1, LEF-8-1,20000
Y,324,LEF-6-1, LEF-6-2,20000
Y,325,LEF-6-2, LEF-6-3,20000
Y,326,LEF-6-3, LEF-6-4,20000
Y,327,LEF-6-4, LEF-6-5,20000
Y,328,LEF-6-5, LEF-6-6,20000
Y,329,LEF-6-6, LEF-6-7,20000
Y,330,LEF-6-6, LEF-6-7,20000
Y,331,LEF-6-5, LEF-6-6,20000
Y,332,LEF-6-4, LEF-6-5,20000
Y,333,LEF-6-3, LEF-6-4,20000
Y,334,LEF-6-2, LEF-6-3,20000
Y,335,LEF-6-1, LEF-6-2,20000
Y,336,LEF-6-1, LEF-8-1,20000
Y,337,LEF-8-1, LEF-8-2,20000
Y,338,LEF-8-2, LEF-8-3,20000
Y,339,LEF-8-3, LEF-8-4,20000
Y,340,LEF-8-4, LEF-8-5,20000
Y,341,LEF-8-5, LEF-8-6,20000
Y,342,LEF-8-6, LEF-8-7,20000
Y,343,LEF-8-4, LEF-8-5,20000
Y,344,LEF-8-3, LEF-8-4,20000
Y,345,LEF-8-2, LEF-8-3,20000
Y,346,LEF-8-1, LEF-8-2,20000
Y,347,LEF-6-1, LEF-8-1,20000
Y,348,LEF-6-1, LEF-6-2,20000
Y,349,LEF-6-2, LEF-6-3,20000
Y,350,LEF-6-3, LEF-6-4,20000
Y,351,LEF-6-4, LEF-6-5,20000
Y,352,LEF-6-4, LEF-6-5,20000
Y,353,LEF-6-3, LEF-6-4,20000
Y,354,LEF-6-2, LEF-6-3,20000
Y,355,LEF-6-1, LEF-6-2,20000
Y,356,LEF-6-1, LEF-8-1,20000
Y,357,LEF-8-1, LEF-8-2,20000
Y,358,LEF-8-2, LEF-8-3,20000
Y,359,LEF-8-3, LEF-8-4,20000
Y,360,LEF-8-4, LEF-8-5,20000
