Layer,Step 3 point,NEVTs,Hits
U,139,20000,LEF-3-1,LEF-3-2
U,140,20000,LEF-3-2,LEF-3-3
U,141,20000,LEF-3-3,LEF-3-4
U,142,20000,LEF-3-4,LEF-3-5
U,143,20000,LEF-3-5,LEF-3-6
U,144,20000,LEF-3-6,LEF-3-7
U,145,20000,LEF-3-7,LEF-3-8
U,146,20000,LEF-3-8,LEF-3-9
U,147,20000,LEF-3-8,LEF-3-9
U,148,20000,LEF-3-7,LEF-3-8
U,149,20000,LEF-3-6,LEF-3-7
U,150,20000,LEF-3-5,LEF-3-6
U,151,20000,LEF-3-4,LEF-3-5
U,152,20000,LEF-3-3,LEF-3-4
U,153,20000,LEF-3-2,LEF-3-3
U,154,20000,LEF-3-1,LEF-3-2
U,155,20000,LEF-1-1,LEF-3-1
U,156,20000,LEF-1-1,LEF-1-2
U,157,20000,LEF-1-2,LEF-1-3
U,158,20000,LEF-1-3,LEF-1-4
U,159,20000,LEF-1-4,LEF-1-5
U,160,20000,LEF-1-5,LEF-1-6
U,161,20000,LEF-1-6,LEF-1-7
U,162,20000,LEF-1-7,LEF-1-8
U,163,20000,LEF-1-8,LEF-1-9
U,164,20000,LEF-1-8,LEF-1-9
U,165,20000,LEF-1-7,LEF-1-8
U,166,20000,LEF-1-6,LEF-1-7
U,167,20000,LEF-1-5,LEF-1-6
U,168,20000,LEF-1-4,LEF-1-5
U,169,20000,LEF-1-3,LEF-1-4
U,170,20000,LEF-1-2,LEF-1-3
U,171,20000,LEF-1-1,LEF-1-2
U,172,20000,LEF-1-1,LEF-3-1
U,173,20000,LEF-3-1,LEF-3-2
U,174,20000,LEF-3-2,LEF-3-3
U,175,20000,LEF-3-3,LEF-3-4
U,176,20000,LEF-3-4,LEF-3-5
U,177,20000,LEF-3-5,LEF-3-6
U,178,20000,LEF-3-6,LEF-3-7
U,179,20000,LEF-3-7,LEF-3-8
U,180,20000,LEF-3-8,LEF-3-9
U,181,20000,LEF-5-8,LEF-5-9
U,182,20000,LEF-5-7,LEF-5-8
U,183,20000,LEF-5-6,LEF-5-7
U,184,20000,LEF-5-5,LEF-5-6
U,185,20000,LEF-5-4,LEF-5-5
U,186,20000,LEF-5-3,LEF-5-4
U,187,20000,LEF-5-2,LEF-5-3
U,188,20000,LEF-5-1,LEF-5-2
U,189,20000,LEF-5-1,LEF-7-1
U,190,20000,LEF-7-1,LEF-7-2
U,191,20000,LEF-7-2,LEF-7-3
U,192,20000,LEF-7-3,LEF-7-4
U,193,20000,LEF-7-4,LEF-7-5
U,194,20000,LEF-7-5,LEF-7-6
U,195,20000,LEF-7-6,LEF-7-7
U,196,20000,LEF-7-7,LEF-7-8
U,197,20000,LEF-7-8,LEF-7-9
U,198,20000,LEF-7-8,LEF-7-9
U,199,20000,LEF-7-7,LEF-7-8
U,200,20000,LEF-7-6,LEF-7-7
U,201,20000,LEF-7-5,LEF-7-6
U,202,20000,LEF-7-4,LEF-7-5
U,203,20000,LEF-7-3,LEF-7-4
U,204,20000,LEF-7-2,LEF-7-3
U,205,20000,LEF-7-1,LEF-7-2
U,206,20000,LEF-5-1,LEF-7-1
U,207,20000,LEF-5-1,LEF-5-2
U,208,20000,LEF-5-2,LEF-5-3
U,209,20000,LEF-5-3,LEF-5-4
U,210,20000,LEF-5-4,LEF-5-5
U,211,20000,LEF-5-5,LEF-5-6
U,212,20000,LEF-5-6,LEF-5-7
U,213,20000,LEF-5-7,LEF-5-8
U,214,20000,LEF-5-8,LEF-5-9
U,215,20000,LEF-5-8,LEF-5-9
U,216,20000,LEF-5-7,LEF-5-8
U,217,20000,LEF-5-6,LEF-5-7
U,218,20000,LEF-5-5,LEF-5-6
U,219,20000,LEF-5-4,LEF-5-5
U,220,20000,LEF-5-3,LEF-5-4
U,221,20000,LEF-5-2,LEF-5-3
U,222,20000,LEF-5-1,LEF-5-2
U,223,20000,LEF-5-1,LEF-7-1
U,224,20000,LEF-7-1,LEF-7-2
U,225,20000,LEF-7-2,LEF-7-3
U,226,20000,LEF-7-3,LEF-7-4
U,227,20000,LEF-7-4,LEF-7-5
U,228,20000,LEF-7-5,LEF-7-6
U,229,20000,LEF-7-6,LEF-7-7
U,230,20000,LEF-7-7,LEF-7-8
U,231,20000,LEF-7-8,LEF-7-9
