Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
U,QL-L3,L12-30-1,LEF-1-1,-626.9915828781117,626.8501615218745,-706.8946491521915,546.9470952477947,-650.3261066572677,490.3785527528708,-570.4230403831879,570.2816190269507,-627.0804131674981,625.9410873663116,-705.9855749966285,547.0359255371812,-650.2372763678811,491.2876269084337,-571.3321145387507,570.1927887375641
U,QL-L3,L12-30-0,LEF-1-1,-683.6661913902135,683.5247700339764,-763.5692576642934,603.6217037598966,-707.0007151693696,547.0531612649728,-627.0976488952897,626.9562275390526,-683.7550216796,682.6156958784135,-762.6601835087304,603.7105340492831,-706.911884879983,547.9622354205356,-628.0067230508525,626.867397249666
U,QL-L3,L12-26-11,LEF-1-2,-136.7544514814783,-23.47594513539336,-216.6575177555582,-103.37901140947325,-160.08897526063438,-159.94755390439707,-80.1859089865545,-80.04448763031718,-136.84328177086485,-24.385019290956308,-215.74844359999526,-103.29018112008667,-160.00014497124783,-159.0384797488341,-81.09498314211746,-80.13331791970373
U,QL-L3,L12-26-10,LEF-1-2,-193.4290599935801,33.19866337670844,-273.33212626766,-46.70440289737145,-216.76358377273618,-103.27294539229527,-136.8605174986563,-23.369879118215373,-193.51789028296662,32.28958922114548,-272.423052112097,-46.61557260798489,-216.6747534833496,-102.36387123673231,-137.76959165421923,-23.458709407601937
U,QL-L3,L12-26-9,LEF-1-2,-250.10366850568187,89.87327188881025,-330.00673477976176,9.97020561473036,-273.43819228483795,-46.59833688019346,-193.53512601075806,33.30472939388643,-250.1924987950684,88.96419773324727,-329.0976606241988,10.05903590411691,-273.34936199545143,-45.68926272463051,-194.44420016632102,33.215899104499854
U,QL-L3,L12-26-8,LEF-1-2,-306.77827701778364,146.54788040091205,-386.6813432918635,66.64481412683216,-330.1128007969397,10.076271631908355,-250.20973452285986,89.97933790598825,-306.8671073071702,145.6388062453491,-385.7722691363006,66.73364441621874,-330.0239705075532,10.985345787471317,-251.1188086784228,89.89050761660168
U,QL-L3,L12-26-7,LEF-1-2,-363.4528855298854,203.22248891301388,-443.35595180396535,123.31942263893399,-386.78740930904155,66.75088014401015,-306.88434303496166,146.65394641809004,-363.541715819272,202.31341475745091,-442.4468776484024,123.40825292832056,-386.698579019655,67.65995429957317,-307.7934171905246,146.56511612870355
U,QL-L3,L12-26-6,LEF-1-2,-420.12749404198723,259.89709742511565,-500.03056031606707,179.99403115103576,-443.46201782114326,123.42548865611195,-363.55895154706343,203.32855493019184,-420.21632433137376,258.9880232695527,-499.12148616050416,180.08286144042233,-443.3731875317568,124.33456281167491,-364.4680257026264,203.23972464080526
U,QL-L3,L12-26-5,LEF-1-2,-476.80210255408895,316.5717059372174,-556.7051688281689,236.66863966313753,-500.1366263332451,180.10009716821372,-420.23356005916514,260.0031634422936,-476.89093284347547,315.66263178165445,-555.7960946726059,236.7574699525241,-500.04779604385845,181.00917132377663,-421.14263421472805,259.914333152907
U,QL-L3,L12-26-4,LEF-1-2,-533.4767110661908,373.2463144493193,-613.3797773402707,293.3432481752394,-556.8112348453469,236.7747056803156,-476.90816857126697,316.6777719543955,-533.5655413555774,372.3372402937563,-612.4707031847078,293.43207846462593,-556.7224045559603,237.6837798358785,-477.81724272682993,316.58894166500886
U,QL-L3,L12-26-3,LEF-1-2,-590.1513195782926,429.92092296142107,-670.0543858523724,350.0178566873412,-613.4858433574486,293.4493141924174,-533.5827770833688,373.35238046649727,-590.2401498676792,429.01184880585805,-669.1453116968096,350.1066869767277,-613.397013068062,294.3583883479803,-534.4918512389318,373.26355017711063
U,QL-L3,L12-26-2,LEF-1-2,-646.8259280903944,486.59553147352284,-726.7289943644743,406.69246519944295,-670.1604518695505,350.12392270451915,-590.2573855954705,430.02698897859904,-646.9147583797809,485.6864573179598,-725.8199202089113,406.78129548882947,-670.0716215801638,351.03299686008205,-591.1664597510335,429.9381586892124
U,QL-L3,L12-26-1,LEF-1-2,-703.5005366024961,543.2701399856246,-783.403602876576,463.3670737115448,-726.8350603816522,406.798531216621,-646.9319941075723,486.70159749070086,-703.5893668918826,542.3610658300616,-782.494528721013,463.4559040009313,-726.7462300922656,407.7076053721839,-647.8410682631352,486.6127672013142
U,QL-L3,L12-26-0,LEF-1-2,-760.175145114598,599.9447484977266,-840.0782113886778,520.0416822236466,-783.509668893754,463.4731397287228,-703.6066026196742,543.3762060028027,-760.2639754039844,599.0356743421635,-839.1691372331148,520.1305125130332,-783.4208386043674,464.3822138842857,-704.515676775237,543.287375713416
U,QL-L3,L12-09-11,LEF-1-3,-216.7989391117955,-103.52043276571054,-296.7020053858754,-183.42349903979039,-240.1334628909516,-239.99204153471422,-160.2303966168717,-160.08897526063436,-216.88776940118206,-104.42950692127347,-295.79293123031243,-183.33466875040386,-240.044632601565,-239.08296737915128,-161.13947077243463,-160.1778055500209
U,QL-L3,L12-09-10,LEF-1-3,-273.4735476238973,-46.84582425360874,-353.37661389797717,-126.7488905276886,-296.80807140305336,-183.31743302261242,-216.9050051289735,-103.41436674853256,-273.56237791328385,-47.75489840917169,-352.4675397424142,-126.66006023830207,-296.7192411136668,-182.4083588670495,-217.81407928453643,-103.50319703791911
U,QL-L3,L12-09-9,LEF-1-3,-330.1481561359991,9.828784258493073,-410.05122241007894,-70.07428201558679,-353.48267991515513,-126.64282451051061,-273.5796136410753,-46.739758236430745,-330.23698642538557,8.919710102930111,-409.142148254516,-69.98545172620027,-353.39384962576855,-125.73375035494769,-274.4886877966382,-46.82858852581731
U,QL-L3,L12-09-8,LEF-1-3,-386.8227646481008,66.50339277059487,-466.72583092218076,-13.39967350348499,-410.15728842725696,-69.9682159984088,-330.25422215317707,9.934850275671067,-386.9115949374874,65.59431861503194,-465.8167567666178,-13.31084321409844,-410.0684581378704,-69.05914184284586,-331.16329630874,9.846019986284517
U,QL-L3,L12-09-7,LEF-1-3,-443.49737316020264,123.1780012826967,-523.4004394342826,43.274935008616836,-466.8318969393588,-13.293607486306996,-386.92883066527884,66.60945878777287,-443.5862034495892,122.26892712713376,-522.4913652787195,43.363765298003386,-466.7430666499722,-12.384533330744006,-387.8379048208418,66.52062849838637
U,QL-L3,L12-09-6,LEF-1-3,-500.1719816723044,179.85260979479847,-580.0750479463843,99.9495435207186,-523.5065054514605,43.3810010257948,-443.6034391773806,123.28406729987466,-500.26081196169093,178.94353563923553,-579.1659737908213,100.03837381010516,-523.4176751620739,44.290075181357736,-444.5125133329436,123.19523701048811
U,QL-L3,L12-09-5,LEF-1-3,-556.8465901844062,236.52721830690024,-636.749656458486,156.62415203282038,-580.1811139635622,100.05560953789657,-500.2780476894824,179.95867581197643,-556.9354204737926,235.6181441513373,-635.840582302923,156.71298232220693,-580.0922836741756,100.96468369345945,-501.1871218450452,179.86984552258983
U,QL-L3,L12-09-4,LEF-1-3,-613.521198696508,293.2018268190021,-693.424264970588,213.29876054492226,-636.8557224756642,156.73021804999846,-556.9526562015842,236.63328432407832,-613.6100289858946,292.29275266343916,-692.5151908150249,213.38759083430875,-636.7668921862776,157.63929220556133,-557.8617303571472,236.5444540346917
U,QL-L3,L12-09-3,LEF-1-3,-670.1958072086097,349.8764353311039,-750.0988734826897,269.973369057024,-693.5303309877659,213.40482656210023,-613.6272647136859,293.3078928361801,-670.2846374979963,348.9673611755409,-749.1897993271267,270.0621993464105,-693.4415006983793,214.3139007176631,-614.5363388692489,293.21906254679345
U,QL-L3,L12-09-2,LEF-1-3,-726.8704157207117,406.55104384320566,-806.7734819947915,326.6479775691258,-750.2049394998676,270.079435074202,-670.3018732257877,349.98250134828186,-726.9592460100981,405.6419696876427,-805.8644078392285,326.7368078585123,-750.116109210481,270.9885092297649,-671.2109473813506,349.8936710588953
U,QL-L3,L12-09-1,LEF-1-3,-783.5450242328134,463.2256523553075,-863.4480905068932,383.32258608122766,-806.8795480119694,326.75404358630385,-726.9764817378896,406.6571098603837,-783.6338545221998,462.3165781997445,-862.5390163513302,383.4114163706141,-806.7907177225827,327.6631177418667,-727.8855558934524,406.5682795709971
U,QL-L3,L12-09-0,LEF-1-3,-840.2196327449151,519.9002608674093,-920.122699018995,439.9971945933295,-863.5541565240712,383.4286520984057,-783.6510902499913,463.3317183724855,-840.3084630343017,518.9911867118464,-919.213624863432,440.08602488271595,-863.4653262346847,384.3377262539685,-784.5601644055542,463.24288808309893
U,QL-L3,L12-42-11,LEF-1-4,-296.84342674211274,-183.56492039602773,-376.74649301619263,-263.4679866701076,-320.1779505212688,-320.0365291650314,-240.27488424718894,-240.13346289095156,-296.93225703149926,-184.4739945515907,-375.83741886062967,-263.37915638072104,-320.08912023188225,-319.12745500946846,-241.18395840275187,-240.2222931803381
U,QL-L3,L12-42-10,LEF-1-4,-353.5180352542145,-126.89031188392595,-433.4211015282944,-206.7933781580058,-376.8525590333706,-263.3619206529296,-296.9494927592907,-183.45885437884976,-353.6068655436011,-127.7993860394889,-432.51202737273144,-206.70454786861924,-376.763728743984,-262.45284649736664,-297.85856691485367,-183.54768466823631
U,QL-L3,L12-42-9,LEF-1-4,-410.19264376631634,-70.21570337182413,-490.09571004039617,-150.118769645904,-433.52716754547237,-206.68731214082783,-353.62410127139253,-126.78424586674795,-410.2814740557028,-71.1247775273871,-489.1866358848332,-150.02993935651745,-433.4383372560858,-205.77823798526487,-354.53317542695544,-126.87307615613452
U,QL-L3,L12-42-8,LEF-1-4,-466.86725227841805,-13.541094859722335,-546.770318552498,-93.4441611338022,-490.2017760575742,-150.012703628726,-410.2987097834943,-70.10963735464614,-466.95608256780463,-14.450169015285269,-545.861244396935,-93.35533084441562,-490.1129457681876,-149.10362947316304,-411.2077839390572,-70.19846764403269
U,QL-L3,L12-42-7,LEF-1-4,-523.5418607905199,43.13351365237949,-603.4449270645998,-36.76955262170037,-546.876384569676,-93.3380951166242,-466.9733182955961,-13.435028842544341,-523.6306910799065,42.22443949681656,-602.5358529090367,-36.68072233231379,-546.7875542802894,-92.42902096106118,-467.88239245115903,-13.523859131930834
U,QL-L3,L12-42-6,LEF-1-4,-580.2164693026216,99.80812216448126,-660.1195355767015,19.9050558904014,-603.5509930817777,-36.663486604522404,-523.6479268076978,43.23957966955746,-580.3052995920082,98.89904800891833,-659.2104614211386,19.993886179787978,-603.4621627923912,-35.75441244895944,-524.5570009632609,43.15074938017091
U,QL-L3,L12-42-5,LEF-1-4,-636.8910778147234,156.48273067658303,-716.7941440888033,76.57966440250317,-660.2256015938794,20.011121907579366,-580.3225353197996,99.91418818165923,-636.9799081041099,155.5736565210201,-715.8850699332403,76.66849469188975,-660.1367713044929,20.92019606314227,-581.2316094753625,99.82535789227262
U,QL-L3,L12-42-4,LEF-1-4,-693.5656863268252,213.15733918868492,-773.4687526009052,133.25427291460505,-716.9002101059814,76.68573041968125,-636.9971438319014,156.5887966937611,-693.6545166162118,212.24826503312192,-772.5596784453421,133.34310320399157,-716.8113798165948,77.59480457524415,-637.9062179874644,156.4999664043745
U,QL-L3,L12-42-3,LEF-1-4,-750.240294838927,269.8319477007867,-830.1433611130069,189.92888142670682,-773.5748186180831,133.36033893178302,-693.6717523440032,213.26340520586288,-750.3291251283135,268.9228735452237,-829.2342869574439,190.01771171609334,-773.4859883286965,134.26941308734592,-694.5808264995661,213.17457491647627
U,QL-L3,L12-42-2,LEF-1-4,-806.9149033510289,326.5065562128884,-886.8179696251087,246.6034899388086,-830.2494271301848,190.0349474438848,-750.346360856105,269.9380137179646,-807.0037336404154,325.59748205732546,-885.9088954695458,246.69232022819511,-830.1605968407982,190.9440215994477,-751.2554350116678,269.84918342857804
U,QL-L3,L12-42-1,LEF-1-4,-863.5895118631306,383.18116472499025,-943.4925781372104,303.2780984509104,-886.9240356422866,246.70955595598662,-807.0209693682068,326.61262223006645,-863.6783421525171,382.2720905694273,-942.5835039816475,303.36692874029694,-886.8352053529,247.61863011154952,-807.9300435237697,326.52379194067987
U,QL-L3,L12-42-0,LEF-1-4,-920.2641203752323,439.8557732370921,-1000.1671866493123,359.95270696301225,-943.5986441543885,303.38416446808844,-863.6955778803085,383.2872307421683,-920.3529506646189,438.9466990815291,-999.2581124937492,360.04153725239877,-943.5098138650019,304.29323862365135,-864.6046520358715,383.1984004527817
U,QL-L3,L12-05-11,LEF-1-5,-376.8879143724299,-263.6094080263449,-456.79098064650987,-343.5124743004248,-400.22243815158606,-400.0810167953486,-320.3193718775061,-320.1779505212687,-376.9767446618165,-264.51848218190787,-455.88190649094685,-343.4236440110382,-400.1336078621994,-399.17194263978564,-321.2284460330691,-320.2667808106553
U,QL-L3,L12-05-10,LEF-1-5,-433.5625228845317,-206.93479951424308,-513.4655891586117,-286.837865788323,-456.89704666368783,-343.4064082832468,-376.9939803896079,-263.5033420091669,-433.65135317391827,-207.84387366980607,-512.5565150030486,-286.74903549893645,-456.8082163743012,-342.4973341276838,-377.90305454517085,-263.59217229855346
U,QL-L3,L12-05-9,LEF-1-5,-490.23713139663346,-150.26019100214128,-570.1401976707134,-230.16325727622117,-513.5716551757896,-286.731799771145,-433.66858890170965,-206.82873349706512,-490.32596168602004,-151.16926515770427,-569.2311235151503,-230.07442698683462,-513.482824886403,-285.82272561558204,-434.5776630572726,-206.9175637864517
