-331.597,-971.97,20000
-411.642,-891.925,20000
-491.686,-811.881,20000
-571.731,-731.836,20000
-651.846,-651.721,20000
-731.961,-571.606,20000
-812.005,-491.562,20000
-892.05,-411.517,20000
-972.094,-331.473,20000
-915.42,-274.798,20000
-835.375,-354.843,20000
-755.331,-434.887,20000
-675.286,-514.932,20000
-595.171,-595.047,20000
-515.056,-675.162,20000
-435.011,-755.206,20000
-354.967,-835.251,20000
-274.922,-915.295,20000
-58.159,-1018.71,20000
-138.203,-938.665,20000
-218.248,-858.621,20000
-298.292,-778.576,20000
-378.337,-698.532,20000
-458.381,-618.487,20000
-538.496,-538.372,20000
-618.612,-458.257,20000
-698.656,-378.212,20000
-778.701,-298.168,20000
-858.745,-218.123,20000
-938.79,-138.079,20000
-1018.834,-58.034,20000
-962.16,-1.36,20000
-882.115,-81.404,20000
-802.071,-161.449,20000
-722.026,-241.493,20000
-641.982,-321.538,20000
-561.937,-401.582,20000
-481.822,-481.698,20000
-401.707,-561.813,20000
-321.662,-641.857,20000
-241.618,-721.902,20000
-161.573,-801.946,20000
-81.529,-881.991,20000
-1.484,-962.035,20000
215.279,-1065.45,20000
135.235,-985.405,20000
55.19,-905.361,20000
-24.854,-825.316,20000
-104.899,-745.272,20000
-184.943,-665.227,20000
-264.988,-585.183,20000
-345.032,-505.138,20000
-425.147,-425.023,20000
-505.262,-344.908,20000
-585.307,-264.863,20000
-665.351,-184.819,20000
-745.396,-104.774,20000
-825.441,-24.73,20000
-905.485,55.315,20000
-985.529,135.359,20000
-1065.574,215.404,20000
-1008.899,272.078,20000
-928.855,192.034,20000
-848.81,111.989,20000
-768.766,31.945,20000
-688.721,-48.1,20000
-608.677,-128.144,20000
-528.632,-208.189,20000
-448.588,-288.233,20000
-368.473,-368.348,20000
-288.358,-448.463,20000
-208.313,-528.508,20000
-128.268,-608.552,20000
-48.224,-688.597,20000
31.82,-768.642,20000
111.865,-848.686,20000
191.91,-928.731,20000
271.954,-1008.775,20000
328.629,-952.1,20000
248.584,-872.056,20000
168.54,-792.011,20000
88.495,-711.967,20000
8.451,-631.922,20000
-71.594,-551.878,20000
-151.638,-471.833,20000
-231.683,-391.789,20000
-311.798,-311.674,20000
-391.913,-231.559,20000
-471.958,-151.514,20000
-552.002,-71.469,20000
-632.047,8.575,20000
-712.091,88.62,20000
-792.136,168.664,20000
-872.18,248.708,20000
-952.225,328.753,20000
-895.55,385.428,20000
-815.506,305.383,20000
-735.461,225.339,20000
-655.417,145.294,20000
-575.372,65.25,20000
-495.328,-14.795,20000
-415.283,-94.839,20000
-335.239,-174.884,20000
-255.124,-254.999,20000
-175.008,-335.114,20000
-94.964,-415.159,20000
-14.919,-495.203,20000
65.125,-575.248,20000
145.17,-655.292,20000
225.214,-735.337,20000
305.259,-815.381,20000
385.303,-895.426,20000
441.978,-838.751,20000
361.933,-758.707,20000
281.889,-678.662,20000
201.844,-598.618,20000
121.8,-518.573,20000
41.755,-438.529,20000
-38.289,-358.484,20000
-118.334,-278.44,20000
-198.449,-198.324,20000
-278.564,-118.209,20000
-358.609,-38.165,20000
-438.653,41.88,20000
-518.698,121.924,20000
-598.742,201.969,20000
-678.787,282.013,20000
-758.831,362.058,20000
-838.876,442.102,20000
-782.201,498.777,20000
-702.157,418.732,20000
-622.112,338.688,20000
-542.067,258.643,20000
-462.023,178.599,20000
-381.978,98.554,20000
-301.934,18.51,20000
-221.889,-61.535,20000
-141.774,-141.65,20000
-61.659,-221.765,20000
18.385,-301.81,20000
98.43,-381.854,20000
178.474,-461.899,20000
258.519,-541.943,20000
338.563,-621.988,20000
418.608,-702.032,20000
498.652,-782.077,20000
555.327,-725.402,20000
475.283,-645.358,20000
395.238,-565.313,20000
315.193,-485.269,20000
235.149,-405.224,20000
155.105,-325.18,20000
75.06,-245.135,20000
-4.984,-165.091,20000
-85.1,-84.975,20000
-165.215,-4.86,20000
-245.259,75.184,20000
-325.304,155.229,20000
-405.348,235.273,20000
-485.393,315.318,20000
-565.437,395.362,20000
-645.482,475.407,20000
-725.526,555.451,20000
-668.852,612.126,20000
-588.807,532.082,20000
-508.763,452.037,20000
-428.718,371.993,20000
-348.674,291.948,20000
-268.629,211.903,20000
-188.585,131.859,20000
-108.54,51.814,20000
-28.425,-28.301,20000
51.69,-108.416,20000
131.735,-188.46,20000
211.779,-268.505,20000
291.824,-348.549,20000
371.868,-428.594,20000
451.913,-508.638,20000
531.957,-588.683,20000
612.002,-668.727,20000
668.853,-611.876,20000
588.808,-531.831,20000
508.764,-451.787,20000
428.719,-371.742,20000
348.675,-291.698,20000
268.63,-211.653,20000
188.586,-131.609,20000
108.541,-51.564,20000
28.426,28.551,20000
-51.689,108.666,20000
-131.733,188.71,20000
-211.778,268.755,20000
-291.822,348.799,20000
-371.867,428.844,20000
-451.911,508.888,20000
-531.956,588.933,20000
-612,668.977,20000
-555.326,725.652,20000
-475.281,645.608,20000
-395.237,565.563,20000
-315.192,485.518,20000
-235.148,405.474,20000
-155.103,325.429,20000
-75.059,245.385,20000
4.986,165.341,20000
85.101,85.225,20000
165.216,5.11,20000
245.261,-74.934,20000
325.305,-154.979,20000
405.35,-235.023,20000
485.394,-315.068,20000
565.439,-395.112,20000
645.483,-475.157,20000
725.528,-555.201,20000
782.202,-498.527,20000
702.158,-418.482,20000
622.113,-338.438,20000
542.069,-258.393,20000
462.024,-178.349,20000
381.98,-98.304,20000
301.935,-18.26,20000
221.891,61.785,20000
141.775,141.9,20000
61.66,222.015,20000
-18.384,302.06,20000
-98.429,382.104,20000
-178.473,462.149,20000
-258.518,542.193,20000
-338.562,622.238,20000
-418.607,702.282,20000
-498.651,782.327,20000
-441.977,839.001,20000
-361.932,758.957,20000
-281.888,678.912,20000
-201.843,598.868,20000
-121.799,518.823,20000
-41.754,438.779,20000
38.29,358.734,20000
118.335,278.69,20000
198.45,198.574,20000
278.565,118.459,20000
358.61,38.415,20000
438.654,-41.63,20000
518.699,-121.674,20000
598.743,-201.719,20000
678.788,-281.763,20000
758.832,-361.808,20000
838.877,-441.852,20000
895.551,-385.178,20000
815.507,-305.133,20000
735.462,-225.089,20000
655.418,-145.044,20000
575.373,-65,20000
495.329,15.045,20000
415.284,95.089,20000
335.24,175.134,20000
255.125,255.249,20000
175.01,335.364,20000
94.965,415.409,20000
14.921,495.453,20000
-65.124,575.498,20000
-145.168,655.542,20000
-225.213,735.587,20000
-305.257,815.631,20000
-385.302,895.676,20000
-328.627,952.35,20000
-248.583,872.306,20000
-168.538,792.261,20000
-88.494,712.217,20000
-8.449,632.172,20000
71.595,552.128,20000
151.64,472.083,20000
231.684,392.039,20000
311.799,311.924,20000
391.914,231.809,20000
471.959,151.764,20000
552.004,71.719,20000
632.048,-8.325,20000
712.092,-88.37,20000
792.137,-168.414,20000
872.182,-248.459,20000
952.226,-328.503,20000
1008.901,-271.828,20000
928.856,-191.784,20000
848.812,-111.739,20000
768.767,-31.695,20000
688.723,48.35,20000
608.678,128.394,20000
528.634,208.439,20000
448.589,288.483,20000
368.474,368.598,20000
288.359,448.714,20000
208.314,528.758,20000
128.27,608.803,20000
48.225,688.847,20000
-31.819,768.891,20000
-111.864,848.936,20000
-191.908,928.981,20000
-271.953,1009.025,20000
-215.278,1065.7,20000
-135.234,985.655,20000
-55.189,905.611,20000
24.855,825.566,20000
104.9,745.522,20000
184.944,665.477,20000
264.989,585.433,20000
345.033,505.388,20000
425.149,425.273,20000
505.264,345.158,20000
585.308,265.113,20000
665.353,185.069,20000
745.397,105.024,20000
825.442,24.98,20000
905.486,-55.065,20000
985.531,-135.109,20000
1065.575,-215.154,20000
962.161,1.61,20000
882.116,81.654,20000
802.072,161.699,20000
722.027,241.743,20000
641.983,321.788,20000
561.938,401.832,20000
481.823,481.947,20000
401.708,562.063,20000
321.663,642.107,20000
241.619,722.152,20000
161.574,802.196,20000
81.53,882.241,20000
1.485,962.285,20000
58.16,1018.96,20000
138.204,938.915,20000
218.249,858.871,20000
298.293,778.826,20000
378.338,698.782,20000
458.382,618.737,20000
538.498,538.622,20000
618.613,458.507,20000
698.657,378.462,20000
778.702,298.418,20000
858.746,218.373,20000
938.791,138.329,20000
1018.835,58.284,20000
915.421,275.048,20000
835.376,355.092,20000
755.332,435.137,20000
675.288,515.181,20000
595.172,595.297,20000
515.057,675.412,20000
435.013,755.456,20000
354.968,835.501,20000
274.924,915.545,20000
331.598,972.22,20000
411.643,892.176,20000
491.687,812.131,20000
571.732,732.086,20000
651.847,651.971,20000
731.962,571.856,20000
812.007,491.812,20000
892.051,411.767,20000
