-331.597,-971.97
-411.642,-891.925
-491.686,-811.881
-571.731,-731.836
-651.846,-651.721
-731.961,-571.606
-812.005,-491.562
-892.05,-411.517
-972.094,-331.473
-915.42,-274.798
-835.375,-354.843
-755.331,-434.887
-675.286,-514.932
-595.171,-595.047
-515.056,-675.162
-435.011,-755.206
-354.967,-835.251
-274.922,-915.295
-58.159,-1018.71
-138.203,-938.665
-218.248,-858.621
-298.292,-778.576
-378.337,-698.532
-458.381,-618.487
-538.496,-538.372
-618.612,-458.257
-698.656,-378.212
-778.701,-298.168
-858.745,-218.123
-938.79,-138.079
-1018.834,-58.034
-962.16,-1.36
-882.115,-81.404
-802.071,-161.449
-722.026,-241.493
-641.982,-321.538
-561.937,-401.582
-481.822,-481.698
-401.707,-561.813
-321.662,-641.857
-241.618,-721.902
-161.573,-801.946
-81.529,-881.991
-1.484,-962.035
215.279,-1065.45
135.235,-985.405
55.19,-905.361
-24.854,-825.316
-104.899,-745.272
-184.943,-665.227
-264.988,-585.183
-345.032,-505.138
-425.147,-425.023
-505.262,-344.908
-585.307,-264.863
-665.351,-184.819
-745.396,-104.774
-825.441,-24.73
-905.485,55.315
-985.529,135.359
-1065.574,215.404
-1008.899,272.078
-928.855,192.034
-848.81,111.989
-768.766,31.945
-688.721,-48.1
-608.677,-128.144
-528.632,-208.189
-448.588,-288.233
-368.473,-368.348
-288.358,-448.463
-208.313,-528.508
-128.268,-608.552
-48.224,-688.597
31.82,-768.642
111.865,-848.686
191.91,-928.731
271.954,-1008.775
328.629,-952.1
248.584,-872.056
168.54,-792.011
88.495,-711.967
8.451,-631.922
-71.594,-551.878
-151.638,-471.833
-231.683,-391.789
-311.798,-311.674
-391.913,-231.559
-471.958,-151.514
-552.002,-71.469
-632.047,8.575
-712.091,88.62
-792.136,168.664
-872.18,248.708
-952.225,328.753
-895.55,385.428
-815.506,305.383
-735.461,225.339
-655.417,145.294
-575.372,65.25
-495.328,-14.795
-415.283,-94.839
-335.239,-174.884
-255.124,-254.999
-175.008,-335.114
-94.964,-415.159
-14.919,-495.203
65.125,-575.248
145.17,-655.292
225.214,-735.337
305.259,-815.381
385.303,-895.426
441.978,-838.751
361.933,-758.707
281.889,-678.662
201.844,-598.618
121.8,-518.573
41.755,-438.529
-38.289,-358.484
-118.334,-278.44
-198.449,-198.324
-278.564,-118.209
-358.609,-38.165
-438.653,41.88
-518.698,121.924
-598.742,201.969
-678.787,282.013
-758.831,362.058
-838.876,442.102
-782.201,498.777
-702.157,418.732
-622.112,338.688
-542.067,258.643
-462.023,178.599
-381.978,98.554
-301.934,18.51
-221.889,-61.535
-141.774,-141.65
-61.659,-221.765
18.385,-301.81
98.43,-381.854
178.474,-461.899
258.519,-541.943
338.563,-621.988
418.608,-702.032
498.652,-782.077
555.327,-725.402
475.283,-645.358
395.238,-565.313
315.193,-485.269
235.149,-405.224
155.105,-325.18
75.06,-245.135
