Layer,Phase 1 point,Hits,NEVTs
Y,152,LEF-2-3, LEF-2-4
Y,153,LEF-2-2, LEF-2-3
Y,154,LEF-2-1, LEF-2-2
Y,155,LEF-2-1, LEF-4-1
Y,156,LEF-4-1, LEF-4-2
Y,157,LEF-4-2, LEF-4-3
Y,158,LEF-4-3, LEF-4-4
Y,159,LEF-4-4, LEF-4-5
Y,160,LEF-4-5, LEF-4-6
Y,161,LEF-4-6, LEF-4-7
Y,162,LEF-4-7, LEF-4-8
Y,163,LEF-4-8, LEF-4-9
Y,164,LEF-4-8, LEF-4-9
Y,165,LEF-4-7, LEF-4-8
Y,166,LEF-4-6, LEF-4-7
Y,167,LEF-4-5, LEF-4-6
Y,168,LEF-4-4, LEF-4-5
Y,169,LEF-4-3, LEF-4-4
Y,170,LEF-4-2, LEF-4-3
Y,171,LEF-4-1, LEF-4-2
Y,172,LEF-2-1, LEF-4-1
Y,173,LEF-2-1, LEF-2-2
Y,174,LEF-2-2, LEF-2-3
Y,175,LEF-2-3, LEF-2-4
Y,176,LEF-2-4, LEF-2-5
Y,177,LEF-2-5, LEF-2-6
Y,178,LEF-2-6, LEF-2-7
Y,179,LEF-2-7, LEF-2-8
Y,180,LEF-2-8, LEF-2-9
Y,181,LEF-8-8, LEF-8-9
Y,182,LEF-8-7, LEF-8-8
Y,183,LEF-8-6, LEF-8-7
Y,184,LEF-8-5, LEF-8-6
Y,185,LEF-8-4, LEF-8-5
Y,186,LEF-8-3, LEF-8-4
Y,187,LEF-8-2, LEF-8-3
Y,188,LEF-8-1, LEF-8-2
Y,189,LEF-6-1, LEF-8-1
Y,190,LEF-6-1, LEF-6-2
Y,191,LEF-6-2, LEF-6-3
Y,192,LEF-6-3, LEF-6-4
Y,193,LEF-6-4, LEF-6-5
Y,194,LEF-6-5, LEF-6-6
Y,195,LEF-6-6, LEF-6-7
Y,196,LEF-6-7, LEF-6-8
Y,197,LEF-6-8, LEF-6-9
Y,198,LEF-6-8, LEF-6-9
Y,199,LEF-6-7, LEF-6-8
Y,200,LEF-6-6, LEF-6-7
Y,201,LEF-6-5, LEF-6-6
Y,202,LEF-6-4, LEF-6-5
Y,203,LEF-6-3, LEF-6-4
Y,204,LEF-6-2, LEF-6-3
Y,205,LEF-6-1, LEF-6-2
Y,206,LEF-6-1, LEF-8-1
Y,207,LEF-8-1, LEF-8-2
Y,208,LEF-8-2, LEF-8-3
Y,209,LEF-8-3, LEF-8-4
Y,210,LEF-8-4, LEF-8-5
Y,211,LEF-8-5, LEF-8-6
Y,212,LEF-8-6, LEF-8-7
Y,213,LEF-8-7, LEF-8-8
Y,214,LEF-8-8, LEF-8-9
Y,215,LEF-8-8, LEF-8-9
Y,216,LEF-8-7, LEF-8-8
Y,217,LEF-8-6, LEF-8-7
Y,218,LEF-8-5, LEF-8-6
Y,219,LEF-8-4, LEF-8-5
Y,220,LEF-8-3, LEF-8-4
Y,221,LEF-8-2, LEF-8-3
Y,222,LEF-8-1, LEF-8-2
Y,223,LEF-6-1, LEF-8-1
Y,224,LEF-6-1, LEF-6-2
Y,225,LEF-6-2, LEF-6-3
Y,226,LEF-6-3, LEF-6-4
Y,227,LEF-6-4, LEF-6-5
Y,228,LEF-6-5, LEF-6-6
Y,229,LEF-6-6, LEF-6-7
Y,230,LEF-6-7, LEF-6-8
Y,231,LEF-6-8, LEF-6-9
Y,232,LEF-6-8, LEF-6-9
Y,233,LEF-6-7, LEF-6-8
Y,234,LEF-6-6, LEF-6-7
Y,235,LEF-6-5, LEF-6-6
Y,236,LEF-6-4, LEF-6-5
Y,237,LEF-6-3, LEF-6-4
Y,238,LEF-6-2, LEF-6-3
Y,239,LEF-6-1, LEF-6-2
Y,240,LEF-6-1, LEF-8-1
Y,241,LEF-8-1, LEF-8-2
Y,242,LEF-8-2, LEF-8-3
Y,243,LEF-8-3, LEF-8-4
Y,244,LEF-8-4, LEF-8-5
Y,245,LEF-8-5, LEF-8-6
Y,246,LEF-8-6, LEF-8-7
Y,247,LEF-8-7, LEF-8-8
Y,248,LEF-8-8, LEF-8-9
Y,249,LEF-8-8, LEF-8-9
Y,250,LEF-8-7, LEF-8-8
Y,251,LEF-8-6, LEF-8-7
Y,252,LEF-8-5, LEF-8-6
Y,253,LEF-8-4, LEF-8-5
Y,254,LEF-8-3, LEF-8-4
Y,255,LEF-8-2, LEF-8-3
Y,256,LEF-8-1, LEF-8-2
Y,257,LEF-6-1, LEF-8-1
Y,258,LEF-6-1, LEF-6-2
Y,259,LEF-6-2, LEF-6-3
Y,260,LEF-6-3, LEF-6-4
Y,261,LEF-6-4, LEF-6-5
Y,262,LEF-6-5, LEF-6-6
Y,263,LEF-6-6, LEF-6-7
Y,264,LEF-6-7, LEF-6-8
Y,265,LEF-6-8, LEF-6-9
Y,266,LEF-6-8, LEF-6-9
Y,267,LEF-6-7, LEF-6-8
Y,268,LEF-6-6, LEF-6-7
Y,269,LEF-6-5, LEF-6-6
Y,270,LEF-6-4, LEF-6-5
Y,271,LEF-6-3, LEF-6-4
Y,272,LEF-6-2, LEF-6-3
Y,273,LEF-6-1, LEF-6-2
Y,274,LEF-6-1, LEF-8-1
Y,275,LEF-8-1, LEF-8-2
Y,276,LEF-8-2, LEF-8-3
Y,277,LEF-8-3, LEF-8-4
Y,278,LEF-8-4, LEF-8-5
Y,279,LEF-8-5, LEF-8-6
Y,280,LEF-8-6, LEF-8-7
Y,281,LEF-8-7, LEF-8-8
Y,282,LEF-8-8, LEF-8-9
Y,283,LEF-8-8, LEF-8-9
Y,284,LEF-8-7, LEF-8-8
Y,285,LEF-8-6, LEF-8-7
Y,286,LEF-8-5, LEF-8-6
Y,287,LEF-8-4, LEF-8-5
Y,288,LEF-8-3, LEF-8-4
Y,289,LEF-8-2, LEF-8-3
Y,290,LEF-8-1, LEF-8-2
Y,291,LEF-6-1, LEF-8-1
Y,292,LEF-6-1, LEF-6-2
Y,293,LEF-6-2, LEF-6-3
Y,294,LEF-6-3, LEF-6-4
Y,295,LEF-6-4, LEF-6-5
Y,296,LEF-6-5, LEF-6-6
Y,297,LEF-6-6, LEF-6-7
Y,298,LEF-6-7, LEF-6-8
Y,299,LEF-6-8, LEF-6-9
Y,300,LEF-6-8, LEF-6-9
Y,301,LEF-6-7, LEF-6-8
Y,302,LEF-6-6, LEF-6-7
Y,303,LEF-6-5, LEF-6-6
Y,304,LEF-6-4, LEF-6-5
Y,305,LEF-6-3, LEF-6-4
Y,306,LEF-6-2, LEF-6-3
Y,307,LEF-6-1, LEF-6-2
Y,308,LEF-6-1, LEF-8-1
Y,309,LEF-8-1, LEF-8-2
Y,310,LEF-8-2, LEF-8-3
Y,311,LEF-8-3, LEF-8-4
Y,312,LEF-8-4, LEF-8-5
Y,313,LEF-8-5, LEF-8-6
Y,314,LEF-8-6, LEF-8-7
Y,315,LEF-8-7, LEF-8-8
Y,316,LEF-8-8, LEF-8-9
Y,317,LEF-8-6, LEF-8-7
Y,318,LEF-8-5, LEF-8-6
Y,319,LEF-8-4, LEF-8-5
Y,320,LEF-8-3, LEF-8-4
Y,321,LEF-8-2, LEF-8-3
Y,322,LEF-8-1, LEF-8-2
Y,323,LEF-6-1, LEF-8-1
Y,324,LEF-6-1, LEF-6-2
Y,325,LEF-6-2, LEF-6-3
Y,326,LEF-6-3, LEF-6-4
Y,327,LEF-6-4, LEF-6-5
Y,328,LEF-6-5, LEF-6-6
Y,329,LEF-6-6, LEF-6-7
Y,330,LEF-6-6, LEF-6-7
Y,331,LEF-6-5, LEF-6-6
Y,332,LEF-6-4, LEF-6-5
Y,333,LEF-6-3, LEF-6-4
Y,334,LEF-6-2, LEF-6-3
Y,335,LEF-6-1, LEF-6-2
Y,336,LEF-6-1, LEF-8-1
