Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-29-9,LEF-2-3,226.5,-240.4,339.5,-240.4,339.5,-160.4,226.5,-160.4,227.205625,-239.82,338.794375,-239.82,338.794375,-160.98,227.205625,-160.98
Y,QL-R3,L12-29-8,LEF-2-3,226.5,-320.55,339.5,-320.55,339.5,-240.55,226.5,-240.55,227.205625,-319.97,338.794375,-319.97,338.794375,-241.13000000000002,227.205625,-241.13000000000002
Y,QL-R3,L12-29-7,LEF-2-3,226.5,-400.70000000000005,339.5,-400.70000000000005,339.5,-320.70000000000005,226.5,-320.70000000000005,227.205625,-400.12000000000006,338.794375,-400.12000000000006,338.794375,-321.2800000000001,227.205625,-321.2800000000001
Y,QL-R3,L12-29-6,LEF-2-3,226.5,-480.85,339.5,-480.85,339.5,-400.85,226.5,-400.85,227.205625,-480.27000000000004,338.794375,-480.27000000000004,338.794375,-401.43000000000006,227.205625,-401.43000000000006
Y,QL-R3,L12-29-5,LEF-2-3,226.5,-561.0,339.5,-561.0,339.5,-481.0,226.5,-481.0,227.205625,-560.42,338.794375,-560.42,338.794375,-481.5799999999999,227.205625,-481.5799999999999
Y,QL-R3,L12-29-4,LEF-2-3,226.5,-641.1500000000001,339.5,-641.1500000000001,339.5,-561.1500000000001,226.5,-561.1500000000001,227.205625,-640.57,338.794375,-640.57,338.794375,-561.73,227.205625,-561.73
Y,QL-R3,L12-29-3,LEF-2-3,226.5,-721.3000000000001,339.5,-721.3000000000001,339.5,-641.3000000000001,226.5,-641.3000000000001,227.205625,-720.72,338.794375,-720.72,338.794375,-641.88,227.205625,-641.88
Y,QL-R3,L12-29-2,LEF-2-3,226.5,-801.45,339.5,-801.45,339.5,-721.45,226.5,-721.45,227.205625,-800.87,338.794375,-800.87,338.794375,-722.03,227.205625,-722.03
Y,QL-R3,L12-29-1,LEF-2-3,226.5,-881.6,339.5,-881.6,339.5,-801.6,226.5,-801.6,227.205625,-881.02,338.794375,-881.02,338.794375,-802.18,227.205625,-802.18
Y,QL-R3,L12-29-0,LEF-2-3,226.5,-961.7500000000001,339.5,-961.7500000000001,339.5,-881.7500000000001,226.5,-881.7500000000001,227.205625,-961.1700000000001,338.794375,-961.1700000000001,338.794375,-882.33,227.205625,-882.33
Y,QL-R3,L12-46-11,LEF-2-4,339.70000000000005,-80.1,452.70000000000005,-80.1,452.70000000000005,-0.09999999999999432,339.70000000000005,-0.09999999999999432,340.40562500000004,-79.52,451.99437500000005,-79.52,451.99437500000005,-0.6799999999999926,340.40562500000004,-0.6799999999999926
Y,QL-R3,L12-46-10,LEF-2-4,339.70000000000005,-160.25,452.70000000000005,-160.25,452.70000000000005,-80.25,339.70000000000005,-80.25,340.40562500000004,-159.67,451.99437500000005,-159.67,451.99437500000005,-80.82999999999998,340.40562500000004,-80.82999999999998
Y,QL-R3,L12-46-9,LEF-2-4,339.70000000000005,-240.4,452.70000000000005,-240.4,452.70000000000005,-160.4,339.70000000000005,-160.4,340.40562500000004,-239.82,451.99437500000005,-239.82,451.99437500000005,-160.98,340.40562500000004,-160.98
Y,QL-R3,L12-46-8,LEF-2-4,339.70000000000005,-320.55,452.70000000000005,-320.55,452.70000000000005,-240.55,339.70000000000005,-240.55,340.40562500000004,-319.97,451.99437500000005,-319.97,451.99437500000005,-241.13000000000002,340.40562500000004,-241.13000000000002
Y,QL-R3,L12-46-7,LEF-2-4,339.70000000000005,-400.70000000000005,452.70000000000005,-400.70000000000005,452.70000000000005,-320.70000000000005,339.70000000000005,-320.70000000000005,340.40562500000004,-400.12000000000006,451.99437500000005,-400.12000000000006,451.99437500000005,-321.2800000000001,340.40562500000004,-321.2800000000001
Y,QL-R3,L12-46-6,LEF-2-4,339.70000000000005,-480.85,452.70000000000005,-480.85,452.70000000000005,-400.85,339.70000000000005,-400.85,340.40562500000004,-480.27000000000004,451.99437500000005,-480.27000000000004,451.99437500000005,-401.43000000000006,340.40562500000004,-401.43000000000006
Y,QL-R3,L12-46-5,LEF-2-4,339.70000000000005,-561.0,452.70000000000005,-561.0,452.70000000000005,-481.0,339.70000000000005,-481.0,340.40562500000004,-560.42,451.99437500000005,-560.42,451.99437500000005,-481.5799999999999,340.40562500000004,-481.5799999999999
Y,QL-R3,L12-46-4,LEF-2-4,339.70000000000005,-641.1500000000001,452.70000000000005,-641.1500000000001,452.70000000000005,-561.1500000000001,339.70000000000005,-561.1500000000001,340.40562500000004,-640.57,451.99437500000005,-640.57,451.99437500000005,-561.73,340.40562500000004,-561.73
Y,QL-R3,L12-46-3,LEF-2-4,339.70000000000005,-721.3000000000001,452.70000000000005,-721.3000000000001,452.70000000000005,-641.3000000000001,339.70000000000005,-641.3000000000001,340.40562500000004,-720.72,451.99437500000005,-720.72,451.99437500000005,-641.88,340.40562500000004,-641.88
Y,QL-R3,L12-46-2,LEF-2-4,339.70000000000005,-801.45,452.70000000000005,-801.45,452.70000000000005,-721.45,339.70000000000005,-721.45,340.40562500000004,-800.87,451.99437500000005,-800.87,451.99437500000005,-722.03,340.40562500000004,-722.03
Y,QL-R3,L12-46-1,LEF-2-4,339.70000000000005,-881.6,452.70000000000005,-881.6,452.70000000000005,-801.6,339.70000000000005,-801.6,340.40562500000004,-881.02,451.99437500000005,-881.02,451.99437500000005,-802.18,340.40562500000004,-802.18
Y,QL-R3,L12-46-0,LEF-2-4,339.70000000000005,-961.7500000000001,452.70000000000005,-961.7500000000001,452.70000000000005,-881.7500000000001,339.70000000000005,-881.7500000000001,340.40562500000004,-961.1700000000001,451.99437500000005,-961.1700000000001,451.99437500000005,-882.33,340.40562500000004,-882.33
Y,QL-R3,L12-45-11,LEF-2-5,452.90000000000003,-80.1,565.9000000000001,-80.1,565.9000000000001,-0.09999999999999432,452.90000000000003,-0.09999999999999432,453.60562500000003,-79.52,565.194375,-79.52,565.194375,-0.6799999999999926,453.60562500000003,-0.6799999999999926
Y,QL-R3,L12-45-10,LEF-2-5,452.90000000000003,-160.25,565.9000000000001,-160.25,565.9000000000001,-80.25,452.90000000000003,-80.25,453.60562500000003,-159.67,565.194375,-159.67,565.194375,-80.82999999999998,453.60562500000003,-80.82999999999998
Y,QL-R3,L12-45-9,LEF-2-5,452.90000000000003,-240.4,565.9000000000001,-240.4,565.9000000000001,-160.4,452.90000000000003,-160.4,453.60562500000003,-239.82,565.194375,-239.82,565.194375,-160.98,453.60562500000003,-160.98
Y,QL-R3,L12-45-8,LEF-2-5,452.90000000000003,-320.55,565.9000000000001,-320.55,565.9000000000001,-240.55,452.90000000000003,-240.55,453.60562500000003,-319.97,565.194375,-319.97,565.194375,-241.13000000000002,453.60562500000003,-241.13000000000002
Y,QL-R3,L12-45-7,LEF-2-5,452.90000000000003,-400.70000000000005,565.9000000000001,-400.70000000000005,565.9000000000001,-320.70000000000005,452.90000000000003,-320.70000000000005,453.60562500000003,-400.12000000000006,565.194375,-400.12000000000006,565.194375,-321.2800000000001,453.60562500000003,-321.2800000000001
Y,QL-R3,L12-45-6,LEF-2-5,452.90000000000003,-480.85,565.9000000000001,-480.85,565.9000000000001,-400.85,452.90000000000003,-400.85,453.60562500000003,-480.27000000000004,565.194375,-480.27000000000004,565.194375,-401.43000000000006,453.60562500000003,-401.43000000000006
