679.3,-721.35,180000
452.9,-881.65,180000
0,-886.65,180000
-452.9,-881.65,180000
-679.3,-721.35,180000
-905.7,-320.6,180000
-452.9,-320.6,180000
0,-405.75,180000
452.9,-320.6,180000
905.7,-320.6,180000
905.7,0,180000
566.1,0,180000
113.3,0,180000
0,85.15,180000
0,-85.15,180000
-113.3,0,180000
-566.1,0,180000
-905.7,0,180000
-905.7,320.6,180000
-452.9,320.6,180000
0,405.75,180000
452.9,320.6,180000
905.7,320.6,180000
679.3,721.35,180000
452.9,881.65,180000
0,886.65,180000
-452.9,881.65,180000
-679.3,721.35,180000
